"Date","RiverDischarge","Precipitation"
1935-07-26,4.14,7.6
1935-07-27,4.14,0
1935-07-28,4.29,0
1935-07-29,4,0
1935-07-30,4.29,0
1935-07-31,4,0
1935-08-01,4.14,0.6
1935-08-02,4,11.2
1935-08-03,4.14,0.7
1935-08-04,5.92,19.7
1935-08-05,5.16,0
1935-08-06,6.71,0
1935-08-07,4.72,0
1935-08-08,4.44,1.1
1935-08-09,4.29,1.9
1935-08-10,4.29,4.8
1935-08-11,4.29,0
1935-08-12,3.73,15.6
1935-08-13,4.29,21.1
1935-08-14,4.58,2.3
1935-08-15,11.9,0
1935-08-16,10,0
1935-08-17,7.38,0
1935-08-18,5.16,2.8
1935-08-19,4,2.6
1935-08-20,5.3,0
1935-08-21,9.81,0
1935-08-22,9.61,0
1935-08-23,4.87,0
1935-08-24,4.58,8.4
1935-08-25,3.73,6
1935-08-26,4.29,10.7
1935-08-27,5.92,4
1935-08-28,6.55,30.6
1935-08-29,19,4.2
1935-08-30,37,0
1935-08-31,17.8,0
1936-06-01,10.4,0
1936-06-02,6.21,1.5
1936-06-03,5.26,18.4
1936-06-04,5.26,13.2
1936-06-05,24.4,0
1936-06-06,37.9,2.4
1936-06-07,22.5,0.4
1936-06-08,17.6,1.7
1936-06-09,13.5,0
1936-06-10,14.3,1.7
1936-06-11,10.1,0.9
1936-06-12,8.44,0
1936-06-13,7.73,5
1936-06-14,7.38,1.6
1936-06-15,7.21,0
1936-06-16,6.7,0
1936-06-17,6.37,0
1936-06-18,6.05,0
1936-06-19,5.73,0
1936-06-20,5.41,0
1936-06-21,5.73,3.9
1936-06-22,5.89,6
1936-06-23,6.21,0
1936-06-24,9.53,0
1936-06-25,18.9,2
1936-06-26,14.8,5.1
1936-06-27,19.6,9.3
1936-06-28,14.1,0
1936-06-29,8.8,5.1
1936-06-30,7.38,0
1936-07-01,6.37,3.4
1936-07-02,5.89,2.4
1936-07-03,6.37,7.2
1936-07-04,6.54,0
1936-07-05,8.44,0
1936-07-06,7.73,12.9
1936-07-07,7.73,5.1
1936-07-08,19.6,16.9
1936-07-09,27.8,14.4
1936-07-10,35.9,11.1
1936-07-11,33.4,5.3
1936-07-12,23,4.9
1936-07-13,24.8,9.8
1936-07-14,25.5,1
1936-07-15,27.7,2.8
1936-07-16,19.8,0
1936-07-17,18.2,0
1936-07-18,11.9,0.8
1936-07-19,9.16,0
1936-07-20,8.26,11.9
1936-07-21,7.38,1.9
1936-07-22,16,0.2
1936-07-23,16.2,0
1936-07-24,10.3,13.1
1936-07-25,8.8,3
1936-07-26,8.08,0
1936-07-27,7.9,16.8
1936-07-28,7.38,9.6
1936-07-29,18.1,3.7
1936-07-30,23,0.3
1936-07-31,13.9,0.8
1936-08-01,12.5,8.8
1936-08-02,11.1,0.4
1936-08-03,22,1.8
1936-08-04,17.8,1.2
1936-08-05,13.5,0
1936-08-06,10.7,0
1936-08-07,9.53,1.8
1936-08-08,8.8,0
1936-08-09,7.9,0
1936-08-10,6.54,22.9
1936-08-11,7.04,8
1936-08-12,12.5,3.6
1936-08-13,33.1,0.6
1936-08-14,27.4,0
1936-08-15,17.3,0
1936-08-16,13.1,9.6
1936-08-17,10.9,0
1936-08-18,9.34,0
1936-08-19,8.62,0.7
1936-08-20,8.26,0.1
1936-08-21,7.73,0
1936-08-22,7.21,1.7
1936-08-23,6.7,0
1936-08-24,5.57,0
1936-08-25,5.73,0
1936-08-26,5.73,0
1936-08-27,5.89,0
1936-08-28,5.41,0
1936-08-29,5.57,0
1936-08-30,5.41,0
1936-08-31,5.26,0
1937-06-01,5.41,26.5
1937-06-02,16.9,0
1937-06-03,32.3,0
1937-06-04,20.1,0
1937-06-05,12.9,0
1937-06-06,10.6,0
1937-06-07,8.64,6.6
1937-06-08,8.85,0
1937-06-09,9.08,28.1
1937-06-10,8.44,0
1937-06-11,8.03,9.2
1937-06-12,7.62,0
1937-06-13,7.62,0
1937-06-14,6.62,0
1937-06-15,6.62,2.6
1937-06-16,6.8,0.2
1937-06-17,7,0
1937-06-18,6.62,0
1937-06-19,6.08,4.4
1937-06-20,5.54,3.8
1937-06-21,5.18,0.3
1937-06-22,6.44,0
1937-06-23,6.08,10.1
1937-06-24,5.54,3.9
1937-06-25,7.62,0.2
1937-06-26,16,0
1937-06-27,10.4,14.8
1937-06-28,7,8.1
1937-06-29,18.5,8
1937-06-30,23,0
1937-07-01,28.4,0
1937-07-02,16.7,0
1937-07-03,10.6,0
1937-07-04,8.03,0.4
1937-07-05,5,8.3
1937-07-06,8.24,1.1
1937-07-07,7.42,3.7
1937-07-08,6.8,0
1937-07-09,5.72,0
1937-07-10,5.18,0.6
1937-07-11,4.09,0.9
1937-07-12,3.34,3.5
1937-07-13,3.94,0.4
1937-07-14,4.09,0
1937-07-15,5.54,3.5
1937-07-16,4.7,0.1
1937-07-17,4.09,0
1937-07-18,5,0
1937-07-19,3.78,0
1937-07-20,4.54,0
1937-07-21,4.54,0
1937-07-22,3.94,0
1937-07-23,3.94,0
1937-07-24,4.09,0
1937-07-25,2.94,0
1937-07-26,2.94,0
1937-07-27,3.63,0
1937-07-28,3.94,0
1937-07-29,3.78,0
1937-07-30,3.48,0
1937-07-31,3.48,9.2
1937-08-01,3.21,5.7
1937-08-02,3.21,0
1937-08-03,5.72,0
1937-08-04,3.78,0
1937-08-05,3.08,0
1937-08-06,2.94,0
1937-08-07,3.08,0
1937-08-08,2.8,0
1937-08-09,2.52,14.7
1937-08-10,3.48,0
1937-08-11,3.08,0
1937-08-12,2.94,15.9
1937-08-13,2.94,8.6
1937-08-14,3.21,6
1937-08-15,3.21,0.1
1937-08-16,6.8,0.6
1937-08-17,8.03,1.2
1937-08-18,4.54,0.1
1937-08-19,3.34,0
1937-08-20,2.94,2.8
1937-08-21,3.21,1.7
1937-08-22,2.7,8.4
1937-08-23,2.39,0
1937-08-24,3.48,0
1937-08-25,3.21,0
1937-08-26,2.94,0
1937-08-27,3.21,0
1937-08-28,3.08,0
1937-08-29,2.8,22.9
1937-08-30,3.08,2.3
1937-08-31,3.21,0
1938-06-01,6.8,7.8
1938-06-02,13.3,5.6
1938-06-03,8.11,0
1938-06-04,7.92,0
1938-06-05,7,0.6
1938-06-06,5.48,0
1938-06-07,5.32,0
1938-06-08,4.68,0
1938-06-09,4.68,12.7
1938-06-10,4.68,5.2
1938-06-11,4.68,5.4
1938-06-12,4.52,43.6
1938-06-13,5.16,24.1
1938-06-14,73.1,0.2
1938-06-15,51,0.6
1938-06-16,22.9,0
1938-06-17,13.3,0
1938-06-18,9.91,0.7
1938-06-19,8.3,0
1938-06-20,7.18,0
1938-06-21,7,0
1938-06-22,6.31,6.8
1938-06-23,6.31,4.5
1938-06-24,6.31,0
1938-06-25,7.73,0.2
1938-06-26,5.82,0.1
1938-06-27,5,0
1938-06-28,5.32,0
1938-06-29,4.84,0
1938-06-30,4.68,4.9
1938-07-01,4.52,33.9
1938-07-02,4.68,20.9
1938-07-03,5.32,1.7
1938-07-04,11.4,29.1
1938-07-05,10.1,16
1938-07-06,29.3,0
1938-07-07,27.5,0
1938-07-08,12.3,25.1
1938-07-09,9.72,0
1938-07-10,33.4,2.1
1938-07-11,14.4,0.8
1938-07-12,9.72,9.7
1938-07-13,7.92,0.2
1938-07-14,10.1,0
1938-07-15,11.9,50.8
1938-07-16,8.3,2.4
1938-07-17,9.51,0
1938-07-18,9.3,0
1938-07-19,7,0
1938-07-20,6.31,0
1938-07-21,5.65,0
1938-07-22,5,0
1938-07-23,4.68,20.5
1938-07-24,4.68,19
1938-07-25,5.16,0
1938-07-26,7,2.4
1938-07-27,5.65,0
1938-07-28,5,0.1
1938-07-29,4.68,0
1938-07-30,4.68,0
1938-07-31,4.2,0
1938-08-01,4.05,0
1938-08-02,4.36,0
1938-08-03,5.16,0
1938-08-04,5,0
1938-08-05,4.84,0
1938-08-06,4.68,43.9
1938-08-07,4.68,0
1938-08-08,5.82,0.4
1938-08-09,5.16,0.9
1938-08-10,7,0
1938-08-11,13.7,3.1
1938-08-12,7.54,4.2
1938-08-13,6.82,10.3
1938-08-14,12.1,2.8
1938-08-15,33,0
1938-08-16,17.1,0
1938-08-17,9.72,0
1938-08-18,7.36,0
1938-08-19,6.65,0.2
1938-08-20,5.82,21
1938-08-21,4.68,3.5
1938-08-22,6.14,0.1
1938-08-23,12.6,0
1938-08-24,7,0
1938-08-25,6.65,0
1938-08-26,4.68,0
1938-08-27,4.52,0.5
1938-08-28,4.05,6.6
1938-08-29,4.36,8.4
1938-08-30,5.16,1.7
1938-08-31,7.54,0
1939-06-01,15.7,0
1939-06-02,7,0
1939-06-03,6.48,0
1939-06-04,5.98,0
1939-06-05,6.14,0
1939-06-06,5.98,0
1939-06-07,5.65,0
1939-06-08,5.98,0
1939-06-09,8.5,0
1939-06-10,7.56,3.3
1939-06-11,9.91,20.6
1939-06-12,13.7,2.8
1939-06-13,24.8,2.1
1939-06-14,10.8,0.2
1939-06-15,13,0
1939-06-16,9.91,2.2
1939-06-17,8.5,4.6
1939-06-18,7,0
1939-06-19,8.3,3.7
1939-06-20,7.36,0
1939-06-21,6.82,0
1939-06-22,6.14,2.2
1939-06-23,5.98,7.5
1939-06-24,5.98,6.5
1939-06-25,6.65,15.6
1939-06-26,13.5,6.4
1939-06-27,15.9,0
1939-06-28,12.3,0
1939-06-29,9.3,0.9
1939-06-30,7.73,36.1
1939-07-01,9.3,0
1939-07-02,17.3,0.9
1939-07-03,18.8,0
1939-07-04,13.5,0
1939-07-05,9.3,1
1939-07-06,7.92,1.4
1939-07-07,7,0
1939-07-08,6.82,0
1939-07-09,5.48,0.3
1939-07-10,5,0
1939-07-11,5.32,0
1939-07-12,5.32,0
1939-07-13,5,0.8
